




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	Hintersect_with_zhunt.genes_uniq.txt (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	Hintersect_with_zhunt.genes_uniq.txt (273)	Hintersect_with_zhunt.genes_uniq.txt (expected)	Hintersect_with_zhunt.genes_uniq.txt (over/under)	Hintersect_with_zhunt.genes_uniq.txt (fold Enrichment)	Hintersect_with_zhunt.genes_uniq.txt (raw P-value)	Hintersect_with_zhunt.genes_uniq.txt (FDR)
multicellular organism development (GO:0007275)	4941	136	65.50	+	2.08	8.10E-20	1.28E-15
system development (GO:0048731)	4330	125	57.40	+	2.18	1.74E-19	1.38E-15
anatomical structure development (GO:0048856)	5330	140	70.65	+	1.98	8.39E-19	4.42E-15
multicellular organismal process (GO:0032501)	6926	163	91.81	+	1.78	3.08E-18	1.22E-14
developmental process (GO:0032502)	5797	145	76.84	+	1.89	8.78E-18	2.77E-14
nervous system development (GO:0007399)	2218	81	29.40	+	2.76	2.28E-17	6.00E-14
anatomical structure morphogenesis (GO:0009653)	2158	77	28.61	+	2.69	6.53E-16	1.47E-12
neurogenesis (GO:0022008)	1391	57	18.44	+	3.09	4.28E-14	8.45E-11
animal organ development (GO:0048513)	3220	93	42.68	+	2.18	8.99E-14	1.58E-10
generation of neurons (GO:0048699)	1271	52	16.85	+	3.09	7.41E-13	1.17E-09
cell differentiation (GO:0030154)	3575	97	47.39	+	2.05	9.78E-13	1.40E-09
cellular developmental process (GO:0048869)	3634	97	48.17	+	2.01	2.60E-12	3.42E-09
neuron differentiation (GO:0030182)	1043	45	13.83	+	3.25	6.14E-12	7.46E-09
regulation of cellular process (GO:0050794)	11351	204	150.46	+	1.36	3.26E-11	3.68E-08
biological regulation (GO:0065007)	12568	218	166.60	+	1.31	4.45E-11	4.69E-08
central nervous system development (GO:0007417)	1000	41	13.26	+	3.09	2.67E-10	2.49E-07
animal organ morphogenesis (GO:0009887)	956	40	12.67	+	3.16	2.56E-10	2.53E-07
regulation of localization (GO:0032879)	2753	76	36.49	+	2.08	3.68E-10	3.23E-07
regulation of biological process (GO:0050789)	11898	207	157.72	+	1.31	6.74E-10	5.61E-07
cell-cell signaling (GO:0007267)	1131	42	14.99	+	2.80	2.76E-09	2.18E-06
cell communication (GO:0007154)	5656	121	74.97	+	1.61	3.25E-09	2.45E-06
regulation of signaling (GO:0023051)	3545	87	46.99	+	1.85	4.36E-09	3.14E-06
tissue development (GO:0009888)	1729	54	22.92	+	2.36	4.91E-09	3.37E-06
regulation of cell communication (GO:0010646)	3509	86	46.51	+	1.85	6.13E-09	3.88E-06
signaling (GO:0023052)	5565	119	73.77	+	1.61	5.98E-09	3.94E-06
modulation of chemical synaptic transmission (GO:0050804)	431	24	5.71	+	4.20	8.22E-09	5.00E-06
regulation of locomotion (GO:0040012)	997	38	13.22	+	2.88	8.86E-09	5.00E-06
regulation of trans-synaptic signaling (GO:0099177)	432	24	5.73	+	4.19	8.57E-09	5.02E-06
developmental growth involved in morphogenesis (GO:0060560)	115	13	1.52	+	8.53	1.37E-08	7.48E-06
blood vessel morphogenesis (GO:0048514)	410	23	5.43	+	4.23	1.50E-08	7.89E-06
neuron development (GO:0048666)	846	34	11.21	+	3.03	1.70E-08	8.64E-06
tube morphogenesis (GO:0035239)	654	29	8.67	+	3.35	2.79E-08	1.38E-05
regulation of cell motility (GO:2000145)	954	36	12.65	+	2.85	2.91E-08	1.39E-05
anatomical structure formation involved in morphogenesis (GO:0048646)	883	34	11.70	+	2.90	4.61E-08	2.14E-05
regulation of cellular component movement (GO:0051270)	1032	37	13.68	+	2.70	6.49E-08	2.93E-05
cell development (GO:0048468)	1646	50	21.82	+	2.29	6.78E-08	2.98E-05
neuron projection development (GO:0031175)	691	29	9.16	+	3.17	8.66E-08	3.70E-05
forebrain development (GO:0030900)	387	21	5.13	+	4.09	1.10E-07	4.59E-05
urogenital system development (GO:0001655)	324	19	4.29	+	4.42	1.46E-07	5.94E-05
cell morphogenesis (GO:0000902)	715	29	9.48	+	3.06	1.73E-07	6.83E-05
regulation of cell migration (GO:0030334)	892	33	11.82	+	2.79	1.80E-07	6.95E-05
vasculature development (GO:0001944)	514	24	6.81	+	3.52	1.92E-07	7.22E-05
cell fate commitment (GO:0045165)	238	16	3.15	+	5.07	2.61E-07	9.58E-05
regulation of multicellular organismal process (GO:0051239)	2673	67	35.43	+	1.89	2.87E-07	1.03E-04
cellular component morphogenesis (GO:0032989)	611	26	8.10	+	3.21	3.26E-07	1.14E-04
blood vessel development (GO:0001568)	492	23	6.52	+	3.53	3.42E-07	1.17E-04
neuron projection morphogenesis (GO:0048812)	499	23	6.61	+	3.48	4.33E-07	1.46E-04
mesonephros development (GO:0001823)	85	10	1.13	+	8.88	4.73E-07	1.53E-04
morphogenesis of a branching epithelium (GO:0061138)	160	13	2.12	+	6.13	4.83E-07	1.53E-04
plasma membrane bounded cell projection morphogenesis (GO:0120039)	503	23	6.67	+	3.45	4.94E-07	1.53E-04
kidney development (GO:0001822)	282	17	3.74	+	4.55	4.68E-07	1.54E-04
cell surface receptor signaling pathway (GO:0007166)	2495	63	33.07	+	1.90	5.68E-07	1.63E-04
cell projection morphogenesis (GO:0048858)	507	23	6.72	+	3.42	5.63E-07	1.65E-04
head development (GO:0060322)	803	30	10.64	+	2.82	5.60E-07	1.67E-04
mesenchymal cell differentiation (GO:0048762)	162	13	2.15	+	6.05	5.51E-07	1.68E-04
mesenchyme development (GO:0060485)	224	15	2.97	+	5.05	6.50E-07	1.83E-04
tube development (GO:0035295)	856	31	11.35	+	2.73	6.80E-07	1.89E-04
renal system development (GO:0072001)	291	17	3.86	+	4.41	7.07E-07	1.93E-04
morphogenesis of a branching structure (GO:0001763)	169	13	2.24	+	5.80	8.62E-07	2.31E-04
ureteric bud morphogenesis (GO:0060675)	51	8	.68	+	11.83	9.64E-07	2.54E-04
cell part morphogenesis (GO:0032990)	526	23	6.97	+	3.30	1.03E-06	2.67E-04
mesonephric tubule morphogenesis (GO:0072171)	52	8	.69	+	11.61	1.10E-06	2.80E-04
signal transduction (GO:0007165)	5227	106	69.29	+	1.53	1.22E-06	3.05E-04
system process (GO:0003008)	2057	54	27.27	+	1.98	1.39E-06	3.42E-04
cellular response to stimulus (GO:0051716)	6807	129	90.23	+	1.43	1.46E-06	3.56E-04
nephron epithelium development (GO:0072009)	98	10	1.30	+	7.70	1.56E-06	3.74E-04
extracellular matrix organization (GO:0030198)	383	19	5.08	+	3.74	1.62E-06	3.76E-04
axon development (GO:0061564)	421	20	5.58	+	3.58	1.62E-06	3.81E-04
extracellular structure organization (GO:0043062)	384	19	5.09	+	3.73	1.68E-06	3.85E-04
brain development (GO:0007420)	759	28	10.06	+	2.78	1.73E-06	3.92E-04
external encapsulating structure organization (GO:0045229)	386	19	5.12	+	3.71	1.81E-06	4.02E-04
tissue morphogenesis (GO:0048729)	545	23	7.22	+	3.18	1.84E-06	4.03E-04
nephron development (GO:0072006)	126	11	1.67	+	6.59	1.94E-06	4.14E-04
pattern specification process (GO:0007389)	426	20	5.65	+	3.54	1.92E-06	4.16E-04
regionalization (GO:0003002)	317	17	4.20	+	4.05	2.15E-06	4.52E-04
trans-synaptic signaling (GO:0099537)	432	20	5.73	+	3.49	2.35E-06	4.89E-04
ureteric bud development (GO:0001657)	80	9	1.06	+	8.49	2.51E-06	5.15E-04
regulation of synaptic plasticity (GO:0048167)	188	13	2.49	+	5.22	2.62E-06	5.32E-04
cell morphogenesis involved in differentiation (GO:0000904)	559	23	7.41	+	3.10	2.76E-06	5.39E-04
